"user_id","group","gender","age","edu","pol_knowledge","overconfidence","political_efficacy","pol_interest","overall_media_usage","news_topic_interest","div_trait","div_trait2","news_pref_strength","desirability_of_control","beh_int","first_login","last_visit","number_logins","number_stories_read","m_tv1","m_tv2","m_newspaper","m_computer","m_mobile","t_buit","t_bin","t_econ","t_crime","t_sport","t_ent","t_mil","t_imm","Diversity_1","Diversity_2","Diversity_3","Diversity_4","system_control","strategy_control","satisfaction","control_overall","avg_rating2"
930,1,1,34,6,3,-3,4.33333333333333,6,5.8,5.25,7,8,3.5,4.7,6,2019-10-21 18:32:32,2019-11-26 14:05:12,10,67,7,6,5,5,6,6,5,6,5,4,5,6,5,6,3,6,3,4.5,3.6,5.57142857142857,4,3.14925373134328
556,3,2,31,6,3,-1,3.33333333333333,2,3,3,0,2,4,3.3,4,2019-10-18 13:12:07,2019-11-01 07:38:44,16,49,4,3,1,3,4,3,4,3,2,2,3,4,3,5,4,6,4,2.5,3,4.14285714285714,2.77777777777778,1.8265306122449
670,3,1,53,7,9,-4,4.66666666666667,5,5.4,4.125,4,5,5.25,3.2,2,2019-10-19 03:46:02,2019-11-10 05:35:26,10,86,4,4,8,8,3,5,5,6,3,3,1,6,4,5,6,5,5,2,3.2,3.71428571428571,2.66666666666667,2.22093023255814
875,2,1,35,6,10,-2,4.66666666666667,5,4.6,4.125,4,6,4.25,3.3,5,2019-10-21 08:17:31,2019-11-03 17:31:35,13,92,5,4,4,5,5,5,4,3,4,5,5,2,5,5,4,6,4,3.25,4.6,4.71428571428571,4,3.10326086956522
1048,3,2,49,4,9,-8,4.66666666666667,4,4.2,4.125,3,6,5.5,3.6,3,2019-10-28 20:53:14,2019-11-14 17:27:59,9,74,1,4,8,4,4,3,5,4,4,5,3,5,4,5,5,5,5,3.25,3.8,3.71428571428571,3.55555555555556,2.19594594594595
837,3,1,51,6,11,-8,5,5,4.8,4.125,2,7,6.25,3.6,1,2019-10-20 17:32:04,2019-11-04 10:42:24,10,92,5,4,6,1,8,5,6,4,4,2,4,4,4,6,3,5,5,1,1,1.85714285714286,1,2.5
631,2,2,31,5,1,-1,3.66666666666667,4,5,3.875,3,5,5.5,3.4,4,2019-10-18 17:41:42,2019-12-10 18:14:11,9,96,6,3,6,4,6,4,6,5,3,2,2,5,4,5,5,5,4,2.25,2.4,5.42857142857143,2.33333333333333,1.6875
958,3,2,30,5,3,-3,3.66666666666667,2,4,3.5,2,4,6,3.8,5,2019-10-22 10:11:43,2019-11-10 23:51:55,11,114,3,4,5,1,7,4,4,2,5,2,5,3,3,7,3,7,3,3.75,4.4,5,4.11111111111111,2.68859649122807
1027,2,1,37,4,10,-8,2.66666666666667,3,5.2,3.5,2,4,4,4.3,3,2019-10-24 12:33:54,2019-11-02 07:03:26,20,69,6,3,1,8,8,4,4,3,6,1,5,3,2,6,5,5,6,2.75,2.8,4.42857142857143,2.77777777777778,2.60144927536232
28,1,2,45,3,3,-2,2.66666666666667,5,2.6,2.125,0,0,6.5,5.3,2,2019-10-16 11:29:56,2019-11-03 23:12:43,16,287,3,3,1,5,1,3,3,1,2,1,1,3,3,4,3,5,4,2.25,2.8,4.28571428571429,2.55555555555556,2.90243902439024
85,2,2,42,6,3,-1,5,5,5.8,5,6,8,5.25,2.3,3,2019-10-16 16:40:54,2019-10-27 20:08:51,11,103,8,6,4,5,6,5,6,5,5,4,6,5,4,6,4,5,5,2.5,3,3.85714285714286,2.77777777777778,3.46116504854369
619,2,1,40,5,10,0,6.33333333333333,7,7.6,6.25,8,8,6.5,2.5,7,2019-10-18 17:02:57,2019-11-25 19:09:37,33,203,8,6,8,8,8,7,7,7,5,7,5,6,6,6,4,7,4,5.25,5,6.42857142857143,5.11111111111111,2.68226600985222
46,2,2,23,6,6,-3,3.33333333333333,2,1.4,1.25,0,0,5.5,3.6,1,2019-10-16 14:13:31,2019-10-29 11:31:44,9,71,1,1,1,1,3,1,1,1,1,1,2,1,2,3,4,5,4,2.5,1.2,2,1.77777777777778,2.13380281690141
455,3,1,65,4,11,-5,4.33333333333333,5,7,3.5,2,4,5.75,3.3,3,2019-10-17 16:42:18,2019-11-03 15:53:20,12,64,7,7,7,7,7,6,4,5,3,2,1,3,4,6,4,5,5,3.5,3.4,4.42857142857143,3.44444444444444,2.1640625
628,1,1,59,7,9,2,5.33333333333333,6,6.4,5.375,7,8,5.75,3,2,2019-10-18 17:24:04,2019-10-26 06:29:53,18,118,7,7,7,7,4,6,6,7,4,5,5,5,5,3,3,3,3,3.25,3,3.28571428571429,3.11111111111111,1.85593220338983
279,2,2,24,5,10,-8,6.33333333333333,3,4.8,4.375,3,5,6,2.5,1,2019-10-17 07:26:48,2019-10-27 10:57:58,12,70,5,6,1,6,6,7,7,4,4,2,3,5,3,3,2,3,3,3.25,2,3.57142857142857,2.55555555555556,1.88571428571429
326,2,2,43,7,11,-5,2.66666666666667,2,2.8,3.75,2,6,4.5,2.7,2,2019-10-17 09:57:04,2019-11-05 10:31:55,11,47,4,2,5,2,1,5,4,4,2,4,2,5,4,7,4,7,4,3.25,3.4,5,3.33333333333333,2.77659574468085
211,1,2,52,6,10,-7,5,6,7.2,6,8,8,7,2.3,6,2019-10-16 22:34:06,2019-11-14 13:52:43,37,89,8,8,8,6,6,7,7,7,5,6,5,6,5,7,4,7,6,4.75,5.2,6.71428571428571,5,3.5561797752809
468,3,2,49,5,2,-2,2,4,4.4,3.875,2,5,6,2.4,5,2019-10-18 08:32:01,2019-11-23 13:09:22,19,241,6,7,3,1,5,4,5,5,3,3,4,4,3,5,5,3,4,4.25,6.4,5.57142857142857,5.44444444444444,3.20331950207469
197,1,2,46,5,5,-1,4.66666666666667,5,4.2,4.875,6,7,6,2.7,1,2019-10-16 21:43:49,2019-11-03 22:11:16,12,44,8,7,1,4,1,5,7,5,5,1,5,7,4,4,6,4,6,1,1,2.85714285714286,1,2.51136363636364
198,2,2,52,6,9,2,6,7,4.2,6,7,7,6.25,2.5,5,2019-10-16 21:44:49,2019-12-03 13:59:23,10,87,2,2,1,8,8,7,7,7,5,5,3,7,7,3,3,5,4,3.25,3.4,4.71428571428571,3.33333333333333,2.68965517241379
178,4,1,49,6,9,-7,6.33333333333333,7,3.2,5.5,7,7,6.5,4.1,3,2019-10-16 20:42:06,2019-10-30 20:04:04,19,249,1,1,1,7,6,6,6,6,5,7,2,6,6,6,6,6,3,1.25,2.8,4.71428571428571,2.11111111111111,2.89759036144578
836,3,1,65,6,11,-1,5,6,5.6,5.125,5,5,6.75,3.5,2,2019-10-20 17:22:30,2019-10-29 18:15:06,13,44,8,2,8,5,5,7,7,7,2,2,2,7,7,2,3,4,3,2.25,1.6,2.28571428571429,1.88888888888889,2.14772727272727
477,4,2,39,4,6,-1,2.66666666666667,4,4.4,4.875,5,7,6,3.4,5,2019-10-18 08:57:58,2019-11-06 08:53:14,8,43,7,5,1,2,7,4,5,2,6,7,6,4,5,5,4,3,6,3.25,3.2,4.71428571428571,3.22222222222222,2.90697674418605
554,4,2,59,5,7,-5,3.33333333333333,3,5,4,2,6,4.5,3.6,6,2019-10-18 13:10:37,2019-10-29 09:55:27,10,60,5,4,8,5,3,4,5,4,5,3,4,4,3,6,4,3,5,4.75,4.4,4.71428571428571,4.55555555555556,3.08333333333333
1001,3,1,68,7,5,3,2.66666666666667,2,6.2,4.625,5,7,6.25,3.5,6,2019-10-23 13:02:17,2019-11-04 08:29:54,22,130,8,6,8,8,1,5,6,2,5,5,4,6,4,6,6,6,6,2.75,2.4,4.71428571428571,2.55555555555556,1.98846153846154
29,1,2,69,6,8,-4,4.66666666666667,7,6.2,4.875,5,7,5,3.3,2,2019-10-16 11:35:11,2019-11-21 16:53:34,12,73,8,8,6,5,4,6,6,6,4,5,3,5,4,4,3,5,5,1.5,2.4,2.28571428571429,2,2.86301369863014
1023,2,2,23,5,6,-4,3.33333333333333,5,5.4,4.125,4,5,6.25,3.6,5,2019-10-24 08:45:15,2019-11-11 09:58:08,8,107,6,5,5,6,5,5,5,4,5,1,3,7,3,5,2,6,6,3.25,3,4.85714285714286,3.11111111111111,3.03738317757009
939,2,1,38,4,10,-3,6.33333333333333,7,5.8,5.25,6,6,5.5,1.7,6,2019-10-21 20:34:49,2019-11-11 21:16:03,12,72,4,3,6,8,8,7,7,7,3,5,1,7,5,4,4,7,6,5.5,5.6,5.28571428571429,5.55555555555556,3.61111111111111
1088,2,1,52,5,10,-4,4,6,7.2,3.875,3,4,6.5,3.1,4,2019-10-30 09:29:12,2019-11-18 19:23:16,14,154,8,6,6,8,8,7,7,7,1,1,1,3,4,5,3,5,3,1.75,2.4,3.42857142857143,2.11111111111111,2.70779220779221
869,4,1,46,6,9,-3,6,5,6.8,4.75,4,7,6.5,2.7,1,2019-10-21 07:32:21,2019-11-12 06:59:02,12,113,7,6,6,8,7,4,6,7,3,4,4,5,5,3,3,6,6,2.25,2.4,3.71428571428571,2.33333333333333,2.60176991150442
805,1,1,52,4,9,-7,5,6,6.6,5.625,7,8,5.25,3.4,4,2019-10-20 10:21:36,2019-11-20 12:08:32,23,88,8,6,7,8,4,6,6,6,5,6,4,6,6,5,5,6,4,2.75,3.4,4.42857142857143,3.11111111111111,1.88636363636364
728,2,1,47,6,11,-7,5.33333333333333,6,3.8,4.375,5,6,4,4.8,3,2019-10-19 10:50:53,2019-12-13 06:05:34,13,147,3,4,1,6,5,5,5,5,3,5,3,4,5,4,4,5,4,2.25,3,3,2.66666666666667,1.99659863945578
967,4,2,24,6,2,-2,4,5,2.6,3.375,1,4,5.5,2.9,4,2019-10-22 12:25:48,2019-11-06 19:52:02,8,51,2,3,2,3,3,3,4,3,5,1,4,4,3,6,5,5,5,2.75,3.8,4.42857142857143,3.33333333333333,1.6078431372549
456,1,2,51,4,10,-3,4.33333333333333,5,6.4,4.375,3,7,4.75,3.3,4,2019-10-17 16:44:31,2019-10-27 08:46:57,14,42,7,6,6,7,6,5,6,4,5,4,3,4,4,5,5,4,5,3,2.8,4.28571428571429,2.88888888888889,1.80952380952381
780,3,1,51,4,8,-6,5,5,5,5.125,6,8,5,3,2,2019-10-19 22:17:32,2019-11-03 21:22:31,12,65,5,5,7,6,2,6,6,5,4,6,4,5,5,2,3,2,4,2.5,3.6,3.42857142857143,3.11111111111111,2.84615384615385
242,1,1,32,6,8,-6,3.66666666666667,5,5.4,5.125,4,8,5.5,3.8,3,2019-10-17 05:17:34,2019-10-26 19:42:33,11,86,2,3,6,8,8,4,7,7,4,4,6,5,4,5,4,5,3,3,3,3.42857142857143,3,2.19767441860465
1125,3,1,51,7,9,-1,5.33333333333333,7,4,4.5,4,6,6,3,5,2019-10-31 11:25:36,2019-11-18 17:34:22,52,310,5,4,7,3,1,7,5,6,5,3,4,4,2,4,4,5,6,3,3.6,5,3.33333333333333,3.61129032258065
380,2,1,75,5,9,2,4.33333333333333,6,6.8,5.5,7,8,6,4.5,5,2019-10-17 12:27:59,2019-10-29 10:11:48,22,73,8,8,8,8,2,6,6,6,5,5,4,6,6,5,4,5,4,2.25,3.2,4.85714285714286,2.77777777777778,3.11643835616438
56,2,2,30,5,1,-1,4,5,6.2,3.875,3,5,5.5,3.6,5,2019-10-16 14:24:57,2019-11-09 09:36:20,15,76,6,4,6,7,8,4,6,4,2,2,5,5,3,5,7,7,5,3.75,4.4,5.28571428571429,4.11111111111111,3.55921052631579
991,4,2,26,6,3,-2,4,5,6,5.25,8,8,4.75,3.4,5,2019-10-23 08:57:31,2019-11-06 15:12:33,10,113,7,6,5,7,5,5,6,5,5,5,5,5,6,6,3,4,3,3.25,4.4,4.85714285714286,3.88888888888889,3.10176991150442
623,3,2,42,6,4,-3,3.33333333333333,3,2.6,4.25,3,7,4.75,3.1,3,2019-10-18 17:19:20,2019-10-29 05:52:28,15,56,5,2,2,1,3,3,5,4,5,4,5,4,4,5,4,5,4,3,3.2,3.85714285714286,3.11111111111111,2.29464285714286
277,2,1,69,4,10,-8,1,2,4,3.25,3,3,7,3.7,4,2019-10-17 07:22:54,2019-11-27 18:45:02,32,107,8,1,8,2,1,5,7,6,2,1,3,1,1,6,4,6,3,4.25,3.2,5,3.66666666666667,2.78504672897196
524,2,2,34,6,8,-1,4.66666666666667,5,5,3.25,2,3,5.5,2.9,1,2019-10-18 11:24:46,2019-11-08 12:23:44,11,80,5,5,5,5,5,3,5,3,2,1,3,5,4,4,1,2,2,1,2.8,1.85714285714286,2,2.94375
208,2,1,25,3,3,-3,4.66666666666667,2,3.6,1.375,0,1,5.25,4,1,2019-10-16 22:29:19,2019-11-05 14:56:45,10,55,1,1,1,7,8,1,1,1,1,1,4,1,1,5,4,4,5,1.25,1.2,1.71428571428571,1.22222222222222,1.32727272727273
717,4,2,22,4,2,0,1.66666666666667,1,2.4,2.5,0,2,5.75,3.2,1,2019-10-19 10:06:47,2019-10-31 20:34:12,10,43,1,2,2,3,4,3,3,1,4,1,4,3,1,5,5,3,5,1,1.8,2.28571428571429,1.44444444444444,3.25581395348837
657,3,1,57,5,9,1,3.66666666666667,5,7,6,7,8,5,3.9,3,2019-10-18 20:09:22,2019-10-31 18:04:33,12,52,5,6,8,8,8,6,6,6,7,4,6,6,7,6,4,6,4,4.25,4.2,4.71428571428571,4.22222222222222,2.67307692307692
498,1,2,33,5,1,-1,2.66666666666667,1,2,3.25,2,4,6.5,1.2,5,2019-10-18 09:40:49,2019-12-12 11:19:52,15,121,2,2,1,1,4,2,4,1,6,6,4,2,1,7,5,6,4,4.75,4.6,5.71428571428571,4.66666666666667,2.6900826446281
124,1,1,30,7,8,-6,4.66666666666667,5,4.6,6.625,8,8,4.5,4.4,6,2019-10-16 18:06:15,2019-11-04 20:27:34,19,148,1,1,5,8,8,7,7,7,7,7,6,6,6,3,5,4,3,3,2.2,5,2.55555555555556,2.15540540540541
405,3,1,58,6,9,-6,2.66666666666667,3,3,4,4,6,6.25,2.2,3,2019-10-17 13:51:11,2019-11-27 20:40:59,12,41,8,4,1,1,1,4,4,1,1,6,5,6,5,6,6,7,5,2,1.8,4.28571428571429,1.88888888888889,3.40243902439024
731,1,1,72,7,11,-7,3.66666666666667,5,4.6,3.875,3,5,3.25,3.4,5,2019-10-19 11:15:54,2019-11-04 19:04:37,12,131,2,8,6,4,3,3,5,5,3,4,2,4,5,6,3,6,5,4.5,5.8,5,5.22222222222222,2.03053435114504
330,2,1,66,6,6,-4,5.33333333333333,7,5.2,5.875,6,7,6.25,2.4,5,2019-10-17 10:06:28,2019-10-30 13:26:35,26,111,1,1,8,8,8,7,7,7,4,7,3,6,6,6,6,4,6,4.25,4.6,5.85714285714286,4.44444444444444,2.06756756756757
973,3,1,71,5,5,-4,4.33333333333333,4,6.8,4.625,4,6,6.25,2.5,4,2019-10-22 16:58:10,2019-10-30 08:48:34,18,103,8,3,8,8,7,6,5,5,3,7,3,4,4,5,5,6,4,4.75,5,4.71428571428571,4.88888888888889,2.63592233009709
250,3,2,51,6,10,-8,4.66666666666667,4,4.8,4,3,6,5,3.5,5,2019-10-17 05:47:51,2019-11-13 18:33:07,10,80,1,2,7,8,6,5,6,4,4,1,3,5,4,6,4,7,5,2.75,3.8,4.14285714285714,3.33333333333333,1.63125
569,2,2,48,5,7,-6,3.66666666666667,3,2.8,3.125,2,3,5.5,4.6,4,2019-10-18 13:42:04,2019-11-02 15:30:47,25,237,1,3,1,8,1,5,5,2,3,1,2,3,4,5,4,6,3,5.5,4,6.42857142857143,4.66666666666667,2.95147679324895
880,4,2,30,7,7,-1,2.66666666666667,5,5.2,4.125,5,5,5.25,2.8,2,2019-10-21 08:43:32,2019-11-02 08:47:14,8,43,5,7,5,5,4,5,5,3,7,2,1,5,5,6,6,4,4,2.75,3.4,4.42857142857143,3.11111111111111,2.44186046511628
334,3,2,39,6,6,-5,3.33333333333333,4,5.6,3.75,3,5,6.25,3.7,3,2019-10-17 10:20:16,2019-10-26 10:18:58,10,81,5,4,6,7,6,5,5,2,4,1,3,6,4,6,4,5,5,2.75,2.8,4,2.77777777777778,3.66049382716049
658,3,1,52,5,11,-8,5.33333333333333,6,5.2,5.375,6,7,5.75,3.2,4,2019-10-18 20:20:56,2019-10-31 19:51:40,9,53,8,5,6,4,3,6,7,5,6,7,2,4,6,6,3,4,5,4.25,3.2,4.85714285714286,3.66666666666667,2.62264150943396
982,2,1,66,6,9,-9,4.33333333333333,6,5,4.75,5,6,5.25,3,5,2019-10-22 20:38:21,2019-11-11 11:05:01,10,83,6,4,1,7,7,6,6,4,3,6,3,5,5,4,3,5,4,2.25,3.2,5.28571428571429,2.77777777777778,2.57228915662651
235,2,1,33,5,6,-5,4,5,5,4.75,5,8,5,4.1,4,2019-10-17 04:48:46,2019-10-27 20:51:53,17,65,5,3,4,6,7,5,6,4,4,5,5,5,4,6,4,7,5,2.75,3,3.71428571428571,2.88888888888889,3.43076923076923
635,2,1,54,4,10,-7,3.33333333333333,6,7.2,5.875,7,7,6.5,1.6,6,2019-10-18 18:22:31,2019-12-09 10:53:17,15,63,8,6,8,7,7,7,6,6,5,7,3,7,6,6,2,7,4,5.25,5.6,6.57142857142857,5.44444444444444,4.26984126984127
224,2,2,41,3,9,-8,2.66666666666667,3,5.2,5.5,7,7,6.25,2.1,5,2019-10-17 03:22:59,2019-11-01 03:13:53,15,229,7,6,1,5,7,6,7,5,7,1,5,6,7,6,1,6,2,2,2.8,6.28571428571429,2.44444444444444,3.15502183406114
207,1,2,29,5,0,0,2.33333333333333,2,3.8,3.5,1,4,5,3.2,5,2019-10-16 22:25:02,2019-10-24 06:31:22,21,162,5,5,2,1,6,3,4,3,2,4,5,4,3,5,4,4,4,4,4.6,4.42857142857143,4.33333333333333,2.47222222222222
169,1,2,33,6,3,-2,3.66666666666667,4,4.4,3.125,2,2,6.25,3.4,3,2019-10-16 20:16:39,2019-11-06 18:59:14,26,242,1,1,6,6,8,3,5,3,2,1,3,5,3,4,4,5,4,1.25,1.2,3,1.22222222222222,2.64462809917355
331,3,2,42,5,3,-3,2.33333333333333,1,1.4,3.375,3,4,6.25,2.9,6,2019-10-17 10:13:25,2019-10-27 06:02:29,12,98,1,1,1,2,2,2,5,1,7,1,6,4,1,7,4,7,7,3.25,5.2,6.14285714285714,4.33333333333333,4.1734693877551
26,2,1,37,7,9,2,6.33333333333333,7,6.8,5.125,6,8,6.5,3.6,3,2019-10-16 11:21:22,2019-10-29 10:27:50,14,103,8,6,4,8,8,5,6,6,4,4,6,5,5,7,4,7,5,2.75,3,3.71428571428571,2.88888888888889,2.84466019417476
172,3,1,35,7,9,-6,6,5,6.4,5,6,6,5.5,2.8,6,2019-10-16 20:23:07,2019-11-02 12:56:36,16,59,2,6,8,8,8,5,6,7,6,7,2,2,5,6,4,6,4,3,2.6,5.71428571428571,2.77777777777778,3.51694915254237
91,1,2,42,5,9,-6,5.33333333333333,6,7.2,4.875,5,6,6.25,3,2,2019-10-16 16:59:21,2019-11-05 09:57:12,15,177,8,6,6,8,8,6,6,3,7,6,5,2,4,6,6,7,6,2.5,4.2,3.57142857142857,3.44444444444444,3.1864406779661
118,4,2,35,3,3,-3,4,5,4.2,4.625,5,7,3.5,4.3,5,2019-10-16 17:55:36,2019-10-22 12:58:47,11,193,6,4,3,5,3,4,5,5,6,5,5,3,4,6,4,6,5,5.25,5.2,4.42857142857143,5.22222222222222,2.4559585492228
460,1,2,40,6,9,-7,4,4,3.2,4.625,5,7,6,3.3,6,2019-10-17 17:20:02,2019-11-03 12:03:32,16,203,4,4,2,3,3,5,4,4,6,1,6,5,6,6,4,6,5,3.25,4.6,4.85714285714286,4,2.61822660098522
265,1,2,35,6,4,-3,4,2,2.6,3.875,3,4,7,3.1,2,2019-10-17 06:50:11,2019-11-11 09:26:04,14,271,1,1,1,8,2,3,7,3,4,1,5,1,7,3,2,6,4,1.5,2.8,3.57142857142857,2.22222222222222,2.18450184501845
36,2,2,54,5,4,-3,3.33333333333333,4,3.6,3.375,0,5,5.5,3.8,2,2019-10-16 12:06:39,2019-10-25 14:08:18,14,92,5,3,6,3,1,4,4,3,3,4,1,4,4,6,6,6,6,3,3,4.57142857142857,3,2.77173913043478
611,1,2,62,5,5,0,3,5,5,4.625,6,6,4.75,3,4,2019-10-18 16:36:31,2019-10-28 11:54:34,17,179,6,6,3,5,5,5,5,5,3,3,6,5,5,5,4,6,5,5.25,5,5.71428571428571,5.11111111111111,2.67597765363128
286,1,2,54,5,7,-6,4,5,5.2,5.125,6,8,5.75,3.1,7,2019-10-17 08:00:18,2019-10-29 14:43:58,12,253,6,5,8,1,6,4,7,5,5,5,5,6,4,7,6,7,6,5.5,5.4,6.42857142857143,5.44444444444444,2.55533596837945
125,2,1,41,5,9,2,3.66666666666667,5,5.6,4.75,4,6,5,4.5,5,2019-10-16 18:11:05,2019-11-12 19:52:47,11,72,7,6,5,5,5,5,7,3,7,4,6,2,4,5,5,6,4,4,4.4,5.71428571428571,4.22222222222222,2.65972222222222
337,1,1,60,7,7,-5,5.66666666666667,6,6.8,5.75,6,8,5.75,3.1,6,2019-10-17 10:25:42,2019-10-30 18:55:39,14,51,7,7,8,4,8,7,6,7,4,5,4,7,6,6,4,6,5,2.5,3.6,5.57142857142857,3.11111111111111,3.91176470588235
54,4,2,45,6,8,-4,4,5,5,5.125,5,7,7,3,7,2019-10-16 14:23:51,2019-10-24 17:03:46,15,159,5,7,4,1,8,4,4,5,5,3,7,6,7,6,4,7,6,3,4.8,5.85714285714286,4,2.06918238993711
15,2,1,27,6,9,-6,4.33333333333333,4,4.6,3.125,3,4,5.75,3.2,2,2019-10-16 10:32:23,2019-10-29 10:39:15,12,103,4,3,3,8,5,4,5,5,2,5,1,1,2,4,3,4,4,2.5,4.8,4.14285714285714,3.77777777777778,2.11650485436893
796,2,2,68,5,5,-1,3.66666666666667,4,4.6,4.125,2,5,5.25,2,4,2019-10-20 08:31:59,2019-12-11 05:27:37,14,102,6,4,6,6,1,4,6,4,2,3,3,7,4,5,3,5,5,2,3,4.85714285714286,2.55555555555556,1.92156862745098
